Name,Location,Stadium,Capacity,League
Arsenal,London (Holloway),Emirates Stadium,60704,Premier League
Aston Villa,Birmingham,Villa Park,42682,Premier League
Brentford,London (Brentford),Brentford Community Stadium,17250,Premier League
Brighton & Hove Albion,Falmer,Falmer Stadium,31800,Premier League
Burnley,Burnley,Turf Moor,21944,Premier League
Chelsea,London (Fulham),Stamford Bridge,40834,Premier League
Crystal Palace,London (Selhurst),Selhurst Park,25486,Premier League
Everton,Liverpool (Walton),Goodison Park,39414,Premier League
Leeds United,Leeds,Elland Road,37792,Premier League
Leicester City,Leicester,King Power Stadium,32312,Premier League
Liverpool,Liverpool (Anfield),Anfield,53394,Premier League
Manchester City,Manchester (Bradford),Etihad Stadium,55017,Premier League
Manchester United,Manchester (Old Trafford),Old Trafford,74140,Premier League
Newcastle United,Newcastle upon Tyne,St James' Park,52305,Premier League
Norwich City,Norwich,Carrow Road,27244,Premier League
Southampton,Southampton,St Mary's Stadium,32384,Premier League
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,Premier League
Watford,Watford,Vicarage Road,22200,Premier League
West Ham United,London (Stratford),London Stadium,60000,Premier League
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,Premier League
Barnsley,Barnsley,Oakwell,23287,Championship
Birmingham City,Birmingham,St Andrew's,29409,Championship
Blackburn Rovers,Blackburn,Ewood Park,31367,Championship
Blackpool,Blackpool,Bloomfield Road,17338,Championship
Bournemouth,Bournemouth,Dean Court,11364,Championship
Bristol City,Bristol,Ashton Gate Stadium,27000,Championship
Cardiff City,Cardiff,Cardiff City Stadium,33280,Championship
Coventry City,Coventry,Coventry Building Society Arena,32609,Championship
Derby County,Derby,Pride Park Stadium,33600,Championship
Fulham,London (Fulham),Craven Cottage,19359,Championship
Huddersfield Town,Huddersfield,Kirklees Stadium,24500,Championship
Hull City,Kingston upon Hull,MKM Stadium,25400,Championship
Luton Town,Luton,Kenilworth Road,10356,Championship
Middlesbrough,Middlesbrough,Riverside Stadium,34742,Championship
Millwall,London (South Bermondsey),The Den,20146,Championship
Nottingham Forest,West Bridgford,City Ground,30446,Championship
Peterborough United,Peterborough,London Road Stadium,15314,Championship
Preston North End,Preston,Deepdale,23404,Championship
Queens Park Rangers,London (White City),Loftus Road,18439,Championship
Reading,Reading,Madejski Stadium,24161,Championship
Sheffield United,Sheffield,Bramall Lane,32050,Championship
Stoke City,Stoke-on-Trent,bet365 Stadium,30089,Championship
Swansea City,Swansea,Swansea.com Stadium,21088,Championship
West Bromwich Albion,West Bromwich,The Hawthorns,26850,Championship
Aberdeen,Aberdeen,Pittodrie,22199,Premiership
Celtic,Glasgow,Celtic Park,60832,Premiership
Dundee,Dundee,Dens Park,11856,Premiership
Dundee United,Dundee,Tannadice Park,14209,Premiership
Heart of Midlothian,Edinburg,Tynecastle,17420,Premiership
Hibernian,Edinburg,Easter Road,20421,Premiership
Livingston,Livingston,Almondvale Stadium,10122,Premiership
Motherwell,Motherwell,Fir Park,13742,Premiership
Rangers,Glasgow,Ibrox,51082,Premiership
Ross County,Dingwall,Victoria Park,6310,Premiership
St Johnstone,Perth,McDiarmid Park,10673,Premiership
St Mirren,Paisley,St Mirren Park,7937,Premiership
